@relation whatever

@attribute A { 0 , 1 } 
@attribute S { 0 , 1 } 
@attribute J { 0 , 1 } 
@attribute O { 0 , 1 } 
@attribute APL numeric
@attribute R { 0 , 1 } 


@data
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 1 , 0 , 2.80123526109 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 1 , 0 , 1 , 2.80103301145 , 1 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
1 , 0 , 0 , 0 , 2.80143755615 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
0 , 0 , 0 , 0 , 2.80103301145 , 0 
